year,month,division,rainfall_mm,data_quality
2014,1,Barishal,17.7,climatological_estimate
2014,1,Chattogram,8.9,climatological_estimate
2014,1,Dhaka,7.9,climatological_estimate
2014,1,Khulna,14.8,climatological_estimate
2014,1,Mymensingh,11.8,climatological_estimate
2014,1,Rajshahi,8.9,climatological_estimate
2014,1,Rangpur,9.8,climatological_estimate
2014,1,Sylhet,21.7,climatological_estimate
2014,2,Barishal,24.6,climatological_estimate
2014,2,Chattogram,19.7,climatological_estimate
2014,2,Dhaka,14.8,climatological_estimate
2014,2,Khulna,23.6,climatological_estimate
2014,2,Mymensingh,21.7,climatological_estimate
2014,2,Rajshahi,17.7,climatological_estimate
2014,2,Rangpur,19.7,climatological_estimate
2014,2,Sylhet,39.4,climatological_estimate
2014,3,Barishal,41.4,climatological_estimate
2014,3,Chattogram,37.4,climatological_estimate
2014,3,Dhaka,23.6,climatological_estimate
2014,3,Khulna,29.6,climatological_estimate
2014,3,Mymensingh,39.4,climatological_estimate
2014,3,Rajshahi,18.7,climatological_estimate
2014,3,Rangpur,31.5,climatological_estimate
2014,3,Sylhet,118.2,climatological_estimate
2014,4,Barishal,72.8,climatological_estimate
2014,4,Chattogram,82.5,climatological_estimate
2014,4,Dhaka,61.1,climatological_estimate
2014,4,Khulna,53.4,climatological_estimate
2014,4,Mymensingh,77.6,climatological_estimate
2014,4,Rajshahi,29.1,climatological_estimate
2014,4,Rangpur,63.0,climatological_estimate
2014,4,Sylhet,257.1,climatological_estimate
2014,5,Barishal,163.0,climatological_estimate
2014,5,Chattogram,244.4,climatological_estimate
2014,5,Dhaka,131.9,climatological_estimate
2014,5,Khulna,120.3,climatological_estimate
2014,5,Mymensingh,186.2,climatological_estimate
2014,5,Rajshahi,73.7,climatological_estimate
2014,5,Rangpur,160.0,climatological_estimate
2014,5,Sylhet,451.1,climatological_estimate
2014,6,Barishal,346.8,climatological_estimate
2014,6,Chattogram,518.7,climatological_estimate
2014,6,Dhaka,307.8,climatological_estimate
2014,6,Khulna,268.8,climatological_estimate
2014,6,Mymensingh,346.8,climatological_estimate
2014,6,Rajshahi,207.1,climatological_estimate
2014,6,Rangpur,296.4,climatological_estimate
2014,6,Sylhet,786.6,climatological_estimate
2014,7,Barishal,410.4,climatological_estimate
2014,7,Chattogram,582.4,climatological_estimate
2014,7,Dhaka,361.0,climatological_estimate
2014,7,Khulna,351.5,climatological_estimate
2014,7,Mymensingh,399.0,climatological_estimate
2014,7,Rajshahi,338.2,climatological_estimate
2014,7,Rangpur,395.2,climatological_estimate
2014,7,Sylhet,723.9,climatological_estimate
2014,8,Barishal,375.2,climatological_estimate
2014,8,Chattogram,460.8,climatological_estimate
2014,8,Dhaka,300.2,climatological_estimate
2014,8,Khulna,311.6,climatological_estimate
2014,8,Mymensingh,349.6,climatological_estimate
2014,8,Rajshahi,306.8,climatological_estimate
2014,8,Rangpur,359.1,climatological_estimate
2014,8,Sylhet,568.1,climatological_estimate
2014,9,Barishal,302.1,climatological_estimate
2014,9,Chattogram,298.3,climatological_estimate
